what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399498996883
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499006244
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499008343
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499020176
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399499024345
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499027703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499033229
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499033454
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499033489
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399499035063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499037124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499039036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1399499039094
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499043905
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499043933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1399499044827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1399499049248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499050373
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399499053123
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399499058804
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499060850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499071525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499079259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1399499103197
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499105016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499127448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499145742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499166048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499166207
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1399499179930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1399499182850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499193563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499210941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499212392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499217753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499218673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499281141
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499293278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499305771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499307190
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499337035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499339178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499362171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1399499362323
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499449289
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1399499453187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1399499474154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399499476233
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1399499501983
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1399499503586
